mission,perigee_alt_km,v_inf_km_s,delta_v_obs_mm_s,delta_v_classical_mm_s,delta_v_anderson_mm_s,delta_v_busft_mm_s,phi_perigee_J_per_kg,r_perigee_m,v_inf_m_s,v_perigee_m_s,B_in,B_out,delta_B,gamma_in,gamma_out
Galileo_1,956.053,8.949,3.92,0.0,4.111699374100811,81675.29006163891,-54399660.545651846,7327053.0,8949.0,13738.0,0.7000661341586423,0.7000661341423773,-1.6264989355363468e-11,1.303865842891921,1.303865843349256
NEAR,532.485,6.851,13.46,0.0,13.24309958342957,-45265.227204375915,-57737388.57982599,6903485.0,6851.0,12739.0,0.7000629440368296,0.7000629440437305,6.900924276465048e-12,1.3038646194463195,1.3038646199411168
Cassini_1,1171.505,16.01,,0.0,-1.0652501035474218,94322.53585139656,-52845731.756226875,7542505.0,16010.000000000002,19030.0,0.7000677128687225,0.7000677128351181,-3.36043415316567e-11,1.3038664490263734,1.303866449464996
Rosetta_1,1954.303,3.863,1.82,0.0,2.0608716260693147,-243728.12898766148,-47876839.55767135,8325303.0,3863.0,10517.0,0.700073186498894,0.7000731865198457,2.0951684831516104e-11,1.3038685469518527,1.3038685473681466
Messenger,2336.059,4.056,,0.0,0.05515717860448111,-206626.70078471268,-45777707.03058289,8707059.0,4056.0,10389.0,0.7000756996471145,0.7000756996657642,1.8649748412258305e-11,1.3038695106677085,1.3038695110651808
